batch_size,data_root,device,epoch,epochs,gamma_activation,git_sha,imp/exclude_conv1,imp/exclude_fc,imp/lr_scheduler,imp/rewind_epoch_k,imp/rewind_mode,imp/weight_l1_aggregation,imp_parent,imp_round,lambda_weight,lr,pruning/imp_round,pruning/mask_sparsity,pruning/prune_fraction_per_step,run_id,sparsity/mask_zero_fraction,train/acc,train/loss,train/loss_activation_l1,train/loss_task,train/loss_weight_l1,train/weight_sparsity_ratio,val/acc,val/loss,val/loss_activation_l1,val/loss_task,val/loss_weight_l1,val/weight_sparsity_ratio
128,./data,mps,1,10,1e-05,4fc4329,False,False,cosine,4,late_k,sum,imp_latek,0,1e-05,0.001,0.0,0.0,0.1,round_00,0.0,0.4258453676646406,4.138052500784397,1.739101825451309,1.8679763109169223,227005.88627485794,0.07913871854543686,0.487109375,3.6863933503627777,1.7605027586221695,1.5018673926591872,218450.84375,0.07913871854543686
128,./data,mps,2,10,1e-05,4fc4329,False,False,cosine,4,late_k,sum,imp_latek,0,1e-05,0.001,0.0,0.0,0.1,round_00,0.0,0.5999595565213398,3.195941287008199,1.7653192975981669,1.1301089017228647,206581.47975852274,0.15868408977985382,0.5357421875,3.380787229537964,1.7555674642324448,1.4427081912755966,193806.15625,0.15868408977985382
128,./data,mps,3,10,1e-05,4fc4329,False,False,cosine,4,late_k,sum,imp_latek,0,1e-05,0.001,0.0,0.0,0.1,round_00,0.0,0.6802103062244979,2.7262119725346565,1.7646909417076544,0.9148238954896276,181137.0489169034,0.24985793232917786,0.6267578125,2.8133638918399813,1.8121151626110077,1.1296755954623223,168367.015625,0.24985793232917786
128,./data,mps,4,10,1e-05,4fc4329,False,False,cosine,4,late_k,sum,imp_latek,0,1e-05,0.001,0.0,0.0,0.1,round_00,0.0,0.729563703421842,2.3542583882808685,1.7528147653422572,0.7798433906652711,157439.75057705966,0.3236244320869446,0.6140625,2.8398752391338347,1.7919746458530426,1.368618480861187,147123.890625,0.3236244320869446
128,./data,mps,5,10,1e-05,4fc4329,False,False,cosine,4,late_k,sum,imp_latek,0,1e-05,0.001,0.0,0.0,0.1,round_00,0.0,0.7674671519886364,2.0546463931148704,1.7378253990953618,0.6700953762470321,138453.36696555399,0.39092525839805603,0.67890625,2.3910473763942717,1.7737325698137283,1.086113614216447,130491.6015625,0.39092525839805603
128,./data,mps,6,10,1e-05,4fc4329,False,False,cosine,4,late_k,sum,imp_latek,0,1e-05,0.001,0.0,0.0,0.1,round_00,0.0,0.7954150883650238,1.8370220942253417,1.7213895043188876,0.5934973348948088,124350.75852272728,0.4385070502758026,0.7041015625,2.2000468999147413,1.7727659881114959,1.011251974850893,118877.71875,0.4385070502758026
128,./data,mps,7,10,1e-05,4fc4329,False,False,cosine,4,late_k,sum,imp_latek,0,1e-05,0.001,0.0,0.0,0.1,round_00,0.0,0.8238808988508853,1.6490804434499957,1.7067011059685187,0.5067871049554511,114227.62935014204,0.4895860552787781,0.773828125,1.8114613533020019,1.7676974713802338,0.7095285475254058,110191.515625,0.4895860552787781
128,./data,mps,8,10,1e-05,4fc4329,False,False,cosine,4,late_k,sum,imp_latek,0,1e-05,0.001,0.0,0.0,0.1,round_00,0.0,0.8531851721080866,1.4983084449036554,1.6937722631476142,0.42825621353801,107003.53231534091,0.5350332260131836,0.7810546875,1.6898902088403702,1.763532456755638,0.6463145641610026,104355.8046875,0.5350332260131836
128,./data,mps,9,10,1e-05,4fc4329,False,False,cosine,4,late_k,sum,imp_latek,0,1e-05,0.001,0.0,0.0,0.1,round_00,0.0,0.8752392085099762,1.3851939981633967,1.6849756393242965,0.3602462793192403,102493.09042080966,0.5676292181015015,0.8408203125,1.493695205450058,1.7318839997053146,0.484121360629797,100955.65625,0.5676292181015015
128,./data,mps,10,10,1e-05,4fc4329,False,False,cosine,4,late_k,sum,imp_latek,0,1e-05,0.001,0.0,0.0,0.1,round_00,0.0,0.8931231258267706,1.3132273703813553,1.680846925486218,0.31103322985158727,100217.73592862216,0.5792526602745056,0.8763671875,1.3776519358158112,1.737025687098503,0.3813165225088596,99631.8046875,0.5792526602745056
