batch_size,data_root,device,epoch,epochs,gamma_activation,git_sha,lambda_weight,lr,pruning/imp_round,pruning/mask_sparsity,pruning/prune_fraction_per_step,run_id,sparsity/mask_zero_fraction,structured/conv_width,structured/initial_width,structured/lr_scheduler,structured/weight_l1_aggregation,structured_parent,structured_round,train/acc,train/loss,train/loss_activation_l1,train/loss_task,train/loss_weight_l1,train/weight_sparsity_ratio,val/acc,val/loss,val/loss_activation_l1,val/loss_task,val/loss_weight_l1,val/weight_sparsity_ratio
128,./data,mps,1,10,1e-05,99ac351,1e-05,0.001,3.0,0.46875,0.2,round_03,0.46875,17.0,32.0,none,sum,demo,3,0.6025489267300476,1.2972990199923515,0.1062418096063828,1.139813627709042,15748.43270596591,0.033547841012477875,0.641015625,1.2033828660845756,0.08609646931290627,1.0463508352637292,15703.123046875,0.033547841012477875
128,./data,mps,2,10,1e-05,99ac351,1e-05,0.001,3.0,0.46875,0.2,round_03,0.46875,17.0,32.0,none,sum,demo,3,0.6164032906632532,1.2648492421616206,0.10859995735385879,1.108522081239657,15632.608362371271,0.03504939377307892,0.6435546875,1.2005094081163405,0.08536218572407961,1.0449601083993911,15554.849609375,0.03504939377307892
128,./data,mps,3,10,1e-05,99ac351,1e-05,0.001,3.0,0.46875,0.2,round_03,0.46875,17.0,32.0,none,sum,demo,3,0.6182429766790434,1.256181688132611,0.10920148201032796,1.1013683043420315,15481.230604691938,0.03557437285780907,0.648046875,1.204892897605896,0.08574644103646278,1.0509118109941482,15398.0234375,0.03557437285780907
128,./data,mps,4,10,1e-05,99ac351,1e-05,0.001,3.0,0.46875,0.2,round_03,0.46875,17.0,32.0,none,sum,demo,3,0.6205216224559329,1.2450196531347253,0.11077336844226177,1.0916965067047963,15332.205957586115,0.03502681478857994,0.6435546875,1.186048500239849,0.08838298302143813,1.0333448141813277,15270.283203125,0.03502681478857994
128,./data,mps,5,10,1e-05,99ac351,1e-05,0.001,3.0,0.46875,0.2,round_03,0.46875,17.0,32.0,none,sum,demo,3,0.6252022175626322,1.2382274483415214,0.11231933231465518,1.0861762377687476,15205.010381525213,0.03477279096841812,0.6390625,1.2004415839910507,0.08792512472718954,1.0490884974598884,15135.22265625,0.03477279096841812
128,./data,mps,6,10,1e-05,99ac351,1e-05,0.001,3.0,0.46875,0.2,round_03,0.46875,17.0,32.0,none,sum,demo,3,0.6263637349686839,1.2287392931228334,0.11351647573015229,1.077899345620112,15083.88120061701,0.034061528742313385,0.6544921875,1.1710438027977943,0.08838001284748316,1.0209004878997803,15014.248046875,0.034061528742313385
128,./data,mps,7,10,1e-05,99ac351,1e-05,0.001,3.0,0.46875,0.2,round_03,0.46875,17.0,32.0,none,sum,demo,3,0.6251109730113636,1.2302261206575416,0.11326708138751035,1.0807112783870914,14951.371562610973,0.03305108845233917,0.6544921875,1.154256395995617,0.08730087541043759,1.005340974032879,14891.4541015625,0.03305108845233917
128,./data,mps,8,10,1e-05,99ac351,1e-05,0.001,3.0,0.46875,0.2,round_03,0.46875,17.0,32.0,none,sum,demo,3,0.632033222778277,1.2121900399638847,0.11436603662811896,1.0639667121524161,14822.218145197088,0.031402766704559326,0.641015625,1.1913985371589662,0.09240018669515848,1.0436491191387176,14774.8515625,0.031402766704559326
128,./data,mps,9,10,1e-05,99ac351,1e-05,0.001,3.0,0.46875,0.2,round_03,0.46875,17.0,32.0,none,sum,demo,3,0.6317520912059329,1.2090607512403617,0.11572200747799467,1.0619939955120736,14706.55899325284,0.03306801989674568,0.6541015625,1.1455714508891106,0.08847130127251149,0.9991444990038871,14642.6103515625,0.03306801989674568
128,./data,mps,10,10,1e-05,99ac351,1e-05,0.001,3.0,0.46875,0.2,round_03,0.46875,17.0,32.0,none,sum,demo,3,0.6327508483082056,1.206532117148692,0.11716167927211658,1.0606666789813475,14586.42573963512,0.030572960153222084,0.64453125,1.187582291662693,0.09083019569516182,1.0422938644886017,14528.7509765625,0.030572960153222084
