batch_size,data_root,device,epoch,epochs,gamma_activation,git_sha,lambda_weight,lr,pruning/imp_round,pruning/mask_sparsity,pruning/prune_fraction_per_step,run_id,sparsity/mask_zero_fraction,structured/conv_width,structured/initial_width,structured/lr_scheduler,structured/weight_l1_aggregation,structured_parent,structured_round,train/acc,train/loss,train/loss_activation_l1,train/loss_task,train/loss_weight_l1,train/weight_sparsity_ratio,val/acc,val/loss,val/loss_activation_l1,val/loss_task,val/loss_weight_l1,val/weight_sparsity_ratio
64,./data,mps,1,15,1e-05,bb89d7e,1e-05,0.001,0.0,0.0,0.1,round_00,0.0,128.0,128.0,none,sum,struct_large,0,0.22227894176136365,7.145950807766481,0.06352282627168196,2.575531316921115,457041.9120205966,0.05106038227677345,0.2956882911392405,6.3484318829789945,0.04464758937306042,1.9570563443099396,439137.53125,0.05106038227677345
64,./data,mps,2,15,1e-05,bb89d7e,1e-05,0.001,0.0,0.0,0.1,round_00,0.0,128.0,128.0,none,sum,struct_large,0,0.2966974431818182,6.120098531246185,0.04978638492122462,1.9278062165460803,419229.1942471591,0.10975874960422516,0.36253955696202533,5.756535783598695,0.038086287017110025,1.7715423740918124,398499.3125,0.10975874960422516
64,./data,mps,3,15,1e-05,bb89d7e,1e-05,0.001,0.0,0.0,0.1,round_00,0.0,128.0,128.0,none,sum,struct_large,0,0.3351162997159091,5.588583606887948,0.04329931341238658,1.8210838916288181,376749.93408203125,0.17750994861125946,0.35680379746835444,5.37233303166643,0.03481981625096708,1.8272814675222468,354505.125,0.17750994861125946
64,./data,mps,4,15,1e-05,bb89d7e,1e-05,0.001,0.0,0.0,0.1,round_00,0.0,128.0,128.0,none,sum,struct_large,0,0.36585582386363635,5.055828922851519,0.04215434219010852,1.7367295126684688,331909.9024769176,0.24493959546089172,0.40941455696202533,4.7933431697797175,0.03558346860205071,1.6999061967753157,309343.65625,0.24493959546089172
64,./data,mps,5,15,1e-05,bb89d7e,1e-05,0.001,0.0,0.0,0.1,round_00,0.0,128.0,128.0,none,sum,struct_large,0,0.4068048650568182,4.492070251229134,0.040075540124565705,1.631623300639066,286044.65465198865,0.33136361837387085,0.43235759493670883,4.216127730623076,0.03609769027444381,1.588498956040491,262762.84375,0.33136361837387085
64,./data,mps,6,15,1e-05,bb89d7e,1e-05,0.001,0.0,0.0,0.1,round_00,0.0,128.0,128.0,none,sum,struct_large,0,0.42973188920454547,3.97273358871991,0.03851485280955041,1.5754194408655167,239731.3739346591,0.40851110219955444,0.4624208860759494,3.6620643561399437,0.031968677699377265,1.490723902666116,217134.03125,0.40851110219955444
64,./data,mps,7,15,1e-05,bb89d7e,1e-05,0.001,0.0,0.0,0.1,round_00,0.0,128.0,128.0,none,sum,struct_large,0,0.44127308238636365,3.494969618930058,0.039426187016281554,1.5462262080135671,194874.29816228693,0.4965641498565674,0.435126582278481,3.4452372351779212,0.03422184868515292,1.7175776551041422,172765.9375,0.4965641498565674
64,./data,mps,8,15,1e-05,bb89d7e,1e-05,0.001,0.0,0.0,0.1,round_00,0.0,128.0,128.0,none,sum,struct_large,0,0.4594504616477273,3.030913864008405,0.03858621215278452,1.507007777013562,152390.5664728338,0.5604724287986755,0.4790348101265823,2.9161738625055627,0.03680657944347285,1.5903515574298328,132582.1875,0.5604724287986755
64,./data,mps,9,15,1e-05,bb89d7e,1e-05,0.001,0.0,0.0,0.1,round_00,0.0,128.0,128.0,none,sum,struct_large,0,0.4910555752840909,2.586100694300099,0.04057938538343561,1.4411459199406884,114495.4326948686,0.6395061016082764,0.5270965189873418,2.348269933386694,0.03777530812953092,1.373840336558185,97442.9140625,0.6395061016082764
64,./data,mps,10,15,1e-05,bb89d7e,1e-05,0.001,0.0,0.0,0.1,round_00,0.0,128.0,128.0,none,sum,struct_large,0,0.5147372159090909,2.205867787823081,0.04231340619629587,1.3771046411923387,82876.26997514204,0.6815718412399292,0.5478639240506329,1.9884245969072174,0.038241878529138205,1.2977494499351405,69067.4765625,0.6815718412399292
